,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
5092,52.0,1.0,4300000.0,28.0,16.0,6.0,16.71,5.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,6.0,55.62666,37.481163
5093,53.0,1.0,4350000.0,41.7,18.6,11.2,26.19,12.0,1.0,1.0,0.0,1.0,17.0,17.0,0.0,6.0,55.527581,37.514077
5094,54.0,1.0,4400000.0,37.6,18.9,8.0,24.93,5.0,1.0,0.0,0.0,1.0,2.0,14.0,0.0,6.0,55.540032,37.509676
5095,55.0,1.0,4500000.0,33.0,18.0,6.0,18.23,12.0,1.0,0.0,0.0,1.0,5.0,9.0,0.0,6.0,55.600816,37.5228
5096,56.0,2.0,13400000.0,54.0,20.0,25.0,10.37,24.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,6.0,55.676646,37.529789
5097,57.0,1.0,4750000.0,30.5,16.0,6.0,23.99,20.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,6.0,55.54101,37.581047
5098,58.0,4.0,39999000.0,145.0,90.0,25.0,12.49,15.0,1.0,1.0,0.0,1.0,20.0,40.0,0.0,6.0,55.661379,37.509397
5099,59.0,1.0,2865000.0,20.5,20.5,,20.86,8.0,1.0,1.0,0.0,1.0,3.0,7.0,1.0,6.0,55.570105,37.569866
5100,60.0,1.0,2897417.0,25.8,25.8,,26.67,15.0,1.0,1.0,0.0,0.0,16.0,16.0,1.0,6.0,55.523648,37.510957
5101,61.0,1.0,2920500.0,17.7,12.0,3.0,12.98,11.0,1.0,0.0,0.0,1.0,2.0,15.0,0.0,6.0,55.648997,37.533921
5102,62.0,1.0,3027239.0,27.9,27.9,,26.67,15.0,1.0,1.0,0.0,0.0,12.0,17.0,1.0,6.0,55.523648,37.510957
